"REST_ID","REST_NAME","CUISINE"
306245,"Above & Beyond","North Indian"
306245,"Above & Beyond","Chinese"
306245,"Above & Beyond","Mughlai"
306245,"Above & Beyond","Continental"
302715,"Basil Tree","North Indian"
302715,"Basil Tree","Italian"
302715,"Basil Tree","Chinese"
18303704,"Mr. Grill","North Indian"
18303704,"Mr. Grill","Chinese"
8840,"Subway","American"
8840,"Subway","Fast Food"
8840,"Subway","Salad"
8840,"Subway","Healthy Food"
307356,"Chicago Pizza","Pizza"
302142,"Delhi 15","North Indian"
302142,"Delhi 15","Mughlai"
302142,"Delhi 15","Chinese"
8845,"Giani's","Ice Cream"
8845,"Giani's","Desserts"
310253,"Indian Bites","North Indian"
310253,"Indian Bites","Chinese"
310253,"Indian Bites","Continental"
18070503,"Bikano's Chat Cafe","Street Food"
18070503,"Bikano's Chat Cafe","South Indian"
18070503,"Bikano's Chat Cafe","Chinese"
18163908,"Boombox Cafe Reloaded","North Indian"
18163908,"Boombox Cafe Reloaded","Mexican"
18163908,"Boombox Cafe Reloaded","Chinese"
18163908,"Boombox Cafe Reloaded","Italian"
3083,"Wok In The Clouds","Chinese"
3083,"Wok In The Clouds","Thai"
3083,"Wok In The Clouds","Continental"
3083,"Wok In The Clouds","North Indian"
966,"Dhaba","Chinese"
966,"Dhaba","North Indian"
18446504,"The Feast House","Continental"
18446504,"The Feast House","North Indian"
18446504,"The Feast House","American"
18446504,"The Feast House","Italian"
18446504,"The Feast House","Mexican"
310912,"The Flashback","Cafe"
310912,"The Flashback","Italian"
310912,"The Flashback","Chinese"
1301,"Suruchi","Gujarati"
1301,"Suruchi","Rajasthani"
1301,"Suruchi","North Indian"
1301,"Suruchi","Fast Food"
7428,"Dukes Pastry Shop","Bakery"
7428,"Dukes Pastry Shop","Fast Food"
305758,"Glenz Cafe N Bakers","Cafe"
305758,"Glenz Cafe N Bakers","Fast Food"
305758,"Glenz Cafe N Bakers","Desserts"
18332869,"London Street Kitchen","North Indian"
18332869,"London Street Kitchen","Mughlai"
18332869,"London Street Kitchen","Chinese"
18237341,"Dilli Treat","North Indian"
18237341,"Dilli Treat","South Indian"
18237341,"Dilli Treat","Chinese"
3135,"Barbeque Creation By Kadhai Tadka","North Indian"
3135,"Barbeque Creation By Kadhai Tadka","Chinese"
3135,"Barbeque Creation By Kadhai Tadka","Mughlai"
18421481,"Chennai Junction","South Indian"
305913,"KTS","Fast Food"
301836,"Vaishno Bhojnalaya","North Indian"
18491264,"Gourmet Bistro","Cafe"
18491264,"Gourmet Bistro","Fast Food"
18491264,"Gourmet Bistro","Bakery"
18272352,"Punjabi's Veg Grill","North Indian"
17989093,"South Indian Hut","South Indian"
5230,"Ion Club & Dining Lounge","Continental"
5230,"Ion Club & Dining Lounge","North Indian"
5230,"Ion Club & Dining Lounge","Mughlai"
5230,"Ion Club & Dining Lounge","Chinese"
310870,"Shivani Catering Services","North Indian"
310870,"Shivani Catering Services","Chinese"
17977757,"Coffee to Cocktail Bar - Hyatt Place","Drinks Only"
309851,"FoodZilla","Chinese"
309851,"FoodZilla","Assamese"
305687,"Chaayos","Cafe"
305687,"Chaayos","Tea"
304182,"Dunkin' Donuts","Burger"
304182,"Dunkin' Donuts","Desserts"
304182,"Dunkin' Donuts","Fast Food"
18273546,"Eggers Madhouse","Fast Food"
309642,"Doughlicious","Bakery"
309642,"Doughlicious","Desserts"
309642,"Doughlicious","Fast Food"
302239,"Pizzoccheri","Fast Food"
302239,"Pizzoccheri","Pizza"
18294576,"Cafe Friends","Cafe"
18294576,"Cafe Friends","Fast Food"
18294576,"Cafe Friends","Street Food"
309308,"Chai Point","Tea"
309308,"Chai Point","Fast Food"
7580,"Aggarwal's Sweets Paradise","Mithai"
7580,"Aggarwal's Sweets Paradise","North Indian"
7580,"Aggarwal's Sweets Paradise","South Indian"
7580,"Aggarwal's Sweets Paradise","Street Food"
18337782,"Sartaj Food Corner","North Indian"
18337782,"Sartaj Food Corner","South Indian"
18337782,"Sartaj Food Corner","Chinese"
18354658,"Punjabi Chaap Corner","North Indian"
309317,"Simran's Cake Studio","Bakery"
18455665,"The Flying Pan","North Indian"
18455665,"The Flying Pan","Fast Food"
1323,"Bon Bon Pastry Shop","Bakery"
1323,"Bon Bon Pastry Shop","Desserts"
1323,"Bon Bon Pastry Shop","Fast Food"
301514,"Zest Bar and Lounge","Finger Food"
301514,"Zest Bar and Lounge","North Indian"
301514,"Zest Bar and Lounge","Chinese"
18261722,"Gola Sizzlers","Chinese"
18261722,"Gola Sizzlers","North Indian"
18261722,"Gola Sizzlers","Mughlai"
18261722,"Gola Sizzlers","Continental"
310417,"Angels in my Kitchen","Bakery"
310417,"Angels in my Kitchen","Desserts"
310417,"Angels in my Kitchen","Fast Food"
8069,"Evergreen Sweets Corner","Mithai"
8069,"Evergreen Sweets Corner","Street Food"
8110,"Nine 2 Nine Snacks & Restaurant","North Indian"
8110,"Nine 2 Nine Snacks & Restaurant","Street Food"
312703,"Dolphin Rolls","Fast Food"
312703,"Dolphin Rolls","Chinese"
301108,"Aggarwal Sweet & Bakers","Mithai"
301108,"Aggarwal Sweet & Bakers","Street Food"
18489806,"The Tasty Corner","North Indian"
18489806,"The Tasty Corner","Chinese"
18382368,"Kaka Restaurant","Mughlai"
18382368,"Kaka Restaurant","North Indian"
18254314,"Sarfira","Fast Food"
166,"Punjabi By Nature","North Indian"
166,"Punjabi By Nature","Mughlai"
18486858,"6 Packs Momos","Chinese"
18377587,"Hungro","North Indian"
18377587,"Hungro","South Indian"
490,"Desi Vibes","North Indian"
490,"Desi Vibes","Mughlai"
18268716,"SodaBottleOpenerWala","Parsi"
18268716,"SodaBottleOpenerWala","Iranian"
384,"Domino's Pizza","Pizza"
384,"Domino's Pizza","Fast Food"
304612,"RollsKing","Fast Food"
1702,"Nazeer Foods","Mughlai"
1702,"Nazeer Foods","North Indian"
18383490,"Chicago Pizza","Pizza"
18349905,"Kebab Xpress","North Indian"
18349905,"Kebab Xpress","Mughlai"
18383460,"Pizza Hut","Italian"
18383460,"Pizza Hut","Pizza"
18383460,"Pizza Hut","Fast Food"
18440164,"Cha Cha Cha","Beverages"
18440164,"Cha Cha Cha","Fast Food"
18421515,"Maa Ka Khaana","North Indian"
18284048,"Chinese Chilly Sizzler","Chinese"
18359322,"Heaven's Point","Fast Food"
301402,"Indian Diners","North Indian"
301402,"Indian Diners","Chinese"
301402,"Indian Diners","Continental"
301468,"Vivino - Hotel Golf View","Continental"
18438321,"Moonlight Cafe","Continental"
18438321,"Moonlight Cafe","Fast Food"
18438321,"Moonlight Cafe","Italian"
301461,"Airborne","North Indian"
301461,"Airborne","Chinese"
301461,"Airborne","Continental"
301461,"Airborne","Mughlai"
3155,"Pearls Regency","North Indian"
3155,"Pearls Regency","Chinese"
3155,"Pearls Regency","Thai"
18014129,"Hungry Ullu","Fast Food"
18352184,"Keventers","Beverages"
18439534,"C Cube","American"
18439534,"C Cube","Italian"
18439534,"C Cube","North Indian"
18439534,"C Cube","Chinese"
18454484,"44 Grills","North Indian"
18454484,"44 Grills","Chinese"
18420881,"Kanak Kitchen","North Indian"
457,"Kamboj's","North Indian"
457,"Kamboj's","Mughlai"
457,"Kamboj's","Chinese"
18313203,"Chillies Cafe","Fast Food"
312313,"Adhikari Fast Food Corner","Chinese"
312313,"Adhikari Fast Food Corner","Fast Food"
311341,"WTF - World's Tastiest Food","North Indian"
311341,"WTF - World's Tastiest Food","Chinese"
18138435,"Prime Bakery","Bakery"
18138435,"Prime Bakery","Mithai"
18163927,"Heavens Food Xprs","North Indian"
18163927,"Heavens Food Xprs","Mughlai"
18163927,"Heavens Food Xprs","Chinese"
18470627,"Big Biryani","Biryani"
18470627,"Big Biryani","Mughlai"
18435293,"Ayush Chicken Point","North Indian"
18435293,"Ayush Chicken Point","Mughlai"
18435293,"Ayush Chicken Point","Chinese"
304502,"Sharma Hotel","North Indian"
18375383,"The Deshi Bites","North Indian"
7909,"Subway","American"
7909,"Subway","Fast Food"
7909,"Subway","Salad"
7909,"Subway","Healthy Food"
5851,"The Golden Dragon","Chinese"
5851,"The Golden Dragon","Seafood"
5851,"The Golden Dragon","Japanese"
18451584,"Ovenstory Pizza","Pizza"
18451584,"Ovenstory Pizza","Fast Food"
8376,"Domino's Pizza","Pizza"
8376,"Domino's Pizza","Fast Food"
18438448,"Food Care","Chinese"
18438448,"Food Care","Fast Food"
18438465,"Rajesh Eating Corner","Street Food"
312352,"Vintro","Cafe"
300729,"Finger Licious","Bakery"
300729,"Finger Licious","Fast Food"
309473,"Arora Snacks","Chinese"
8502,"Bansal Mithai Wale","Mithai"
18378056,"Firangi Island","North Indian"
18378056,"Firangi Island","Chinese"
18378056,"Firangi Island","Continental"
18378056,"Firangi Island","Italian"
18445790,"Kopper Kadai","North Indian"
18332083,"Rollmates","Fast Food"
18332083,"Rollmates","North Indian"
18332083,"Rollmates","Chinese"
18386266,"P2 Tandoori Momos Station","Chinese"
18386266,"P2 Tandoori Momos Station","North Indian"
300652,"Orange Chopsticks","Chinese"
300652,"Orange Chopsticks","Thai"
300652,"Orange Chopsticks","Asian"
7583,"Chhotu Mashhoor Kathi Roll","Fast Food"
18311951,"#InstaFreeze","Ice Cream"
8429,"Chocolateria San Churro","Bakery"
8429,"Chocolateria San Churro","Desserts"
8429,"Chocolateria San Churro","Fast Food"
18429166,"The Classroom","North Indian"
18429166,"The Classroom","Italian"
18429166,"The Classroom","Parsi"
18429166,"The Classroom","Asian"
18429166,"The Classroom","Kerala"
4518,"Sagar Dhaba","North Indian"
18435298,"Getafix Petit","Healthy Food"
18435298,"Getafix Petit","Juices"
18175334,"TFK - The Flaming Kick","North Indian"
18175334,"TFK - The Flaming Kick","Asian"
18175334,"TFK - The Flaming Kick","Continental"
18228862,"DND","North Indian"
18228862,"DND","Fast Food"
8105,"Amit Hotel","North Indian"
18382366,"Yummy Kitchen","North Indian"
18382366,"Yummy Kitchen","Mughlai"
18432027,"Rajan Foods Corner","North Indian"
18432201,"Cheese Pizza","Pizza"
18345461,"Wakhra Swaad","North Indian"
18345461,"Wakhra Swaad","Fast Food"
302575,"Yours Deliciously","Street Food"
302575,"Yours Deliciously","Beverages"
18268712,"Chili's Grill & Bar","Mexican"
18268712,"Chili's Grill & Bar","American"
18268712,"Chili's Grill & Bar","Italian"
18336495,"Dhaba at Atta","North Indian"
18336495,"Dhaba at Atta","Mughlai"
937,"KFC","American"
937,"KFC","Fast Food"
937,"KFC","Burger"
18440171,"The Beer Cafe","North Indian"
302541,"Kapoors Balle Balle","North Indian"
302541,"Kapoors Balle Balle","Chinese"
18287405,"Public Cafe","Fast Food"
